name,address_1,address_2,city,state,zip,phone,blurb,about,url,donate_url,info_email,size,image
Save - a Friend to Homeless Animals,1010 Route 601,,Skillman,NJ,08558,609-309-5214,"SAVE has been rescuing and sheltering abandoned, abused, and homeless dogs and cats in the greater Princeton area since 1941. We provide life-saving medical treatment, food, training and love to hundreds of animals every year.","Founded in 1941, SAVE is an independent non-profit animal shelter dedicated to protecting the health and welfare of homeless companion animals in the greater Princeton area. Through six core programs of Rescue, Shelter, Health and Welfare, Spay/Neuter, Adoption, and Humane Education, SAVE focuses on the rehabilitation and successful placement of treatable and adoptable animals. SAVE endeavors to build, foster, and strengthen the human-animal bond.",https://savehomelessanimals.org/,---,---,Small,https://savehomelessanimals.org/wp-content/themes/savehomelessanimalsMain/images/logo.png
Big Brothers Big Sisters,2502 N. Rocky Point Drive,Suite 550,Tampa,FL,33607,813-720-8778,"Big Brothers Big Sisters provide children facing adversity with strong and enduring, professionally supported one-to-one relationships that change their lives for the better, forever.","For more than 100 years, Big Brothers Big Sisters has operated under the belief that inherent in every child is the ability to succeed and thrive in life. As the nation’s largest donor- and volunteer-supported mentoring network, Big Brothers Big Sisters makes meaningful, monitored matches between adult volunteers (“Bigs”) and children (“Littles”), ages 6 through 18, in communities across the country. We develop positive relationships that have a direct and lasting effect on the lives of young people.",https://www.bbbs.org/,---,---,Large,http://bbbs.org/wp-content/uploads/0000-BBBS-of-America_Purple-Horizontal.png
Community Foundation of St. Joseph County,205 W. Jefferson Boulevard,Suite 610,South Bend,IN,46624,574-232-0041,"The Community Foundation of St. Joseph County is a charitable endowment that improves the quality of life for the citizens of St. Joseph County and their succeeding generations. We receive gifts from people who care about the St. Joseph County community, we invest these gifts forever, and we use the investment earnings to make grants each year to local charities.","Since 1991, we’re been connecting people who care with causes that matter right here in St. Joseph County. Our combined assets and endowment are worth more than $173 million as of June 2017, making us one of the largest community foundations in Indiana and one of the top 100 in the country. We know the strengths and the needs of St. Joseph County, and we’re here forever— that’s the power of endowment.",http://cfsjc.org/,---,---,Small ,http://southolddance.org/wp-content/uploads/2014/06/Community-Foundation-of-St.-Joseph-County.jpg
HIAS,1300 Spring Street,Suit 500,Silver Spring,MS,20910,301-844-7300,HIAS is an American nonprofit organization that provides humanitarian aid and assistance to refugees.,"HIAS stands for a world in which refugees find welcome, safety, and freedom. HIAS rescues people whose lives are in danger for being who they are. We protect the most vulnerable refugees, helping them build new lives and reuniting them with their families in safety and freedom. We advocate for the protection of refugees and assure that displaced people are treated with the dignity they deserve. Guided by our Jewish values and history, we bring more than 130 years of expertise to our work with refugees.",https://www.hias.org/,---,---,Large,https://www.interaction.org/sites/default/files/HIAS_logo_vert_lockup_RGB.png
Sunrise USA,P.O. Box 250549,---,Franklin ,MI,48025,855-797-3863,"By emphasizing child development, education, and healthcare needs, Sunrise-USA works to develop long term solutions to Syrians’ current problems.","Founded in 2011 by a group of Syrian-American professionals, Sunrise-USA -a 501 (c) 3 Organization, is now one of the leading NGO’s in the United States focused on providing humanitarian assistance to Syrians both within Syria and in neighboring countries. The mission of Sunrise-USA is to provide comprehensive relief and development aid to Syrian victims inside Syria and in the refugee camps in neighboring countries.",https://sunrise-usa.org/,---,---, Large,https://blog.greatnonprofits.org/wp-content/uploads/2015/10/Screen-Shot-2015-11-24-at-11.47.50-AM.png
Wildlife Conservation Society,2300 Southern Boulevard,---,Bronx,NY,10460,718-220-5100,WCS's goal is to conserve the world's largest wild places.,"Our Mission: WCS saves wildlife and wild places worldwide through science, conservation action, education, and inspiring people to value nature. Our Vision: WCS envisions a world where wildlife thrives in healthy lands and seas, valued by societies that embrace and benefit from the diversity and integrity of life on earth.",https://www.wcs.org/,https://www.wcs.org/support,---,Large,https://en.wikipedia.org/wiki/Wildlife_Conservation_Society#/media/File:Wildlife_cs_logo15.png
Brilliant Detroit,5675 Larkins Street,---,Detroit,MI,48210,313-483-8992,"Dedicated to building kid success families and neighborhoods where families with children 0-8 have what they need to be school ready, healthy and stable.","In 2015 Brilliant Detroit was created to provide a radically new approach to kindergarten readiness in neighborhoods. The idea was to create a unique delivery model in our approach to early childhood development by using underutilized housing stock to create early child and family centers in neighborhoods. Input was gathered and a model that is designed with, for, and by neighbors was built. Brilliant Detroit homes provide holistic services for kids 0-8 predicated on evidence-based programs around health, family support, and education. Brilliant Detroit was born to create kid success neighborhoods. Today, in each location, neighbors come together for fellowship, activities and learning to assure school readiness, and provide needed support for families.",http://brilliantdetroit.org/connect-with-us/,http://brilliantdetroit.org/donate/,info@brilliantdetroit.org,Small,http://brilliantdetroit.org/wp-content/themes/brilliant-detroit/assets/images/footer-logo.png
Jewish World Services,45 West 36th Street,---,New York,NY,10018,800-889-7146,Works to realize human rights and end poverty in the developing world.,"American Jewish World Service is the first and only Jewish organization dedicated solely to ending poverty and promoting human rights in the developing world. Through philanthropy and advocacy, we've addressed some of the gravest global problems of our time—genocide, AIDS, violence against women and girls, hatred of LGBT people, and the horrific consequences of natural and human-made disasters.",https://ajws.org/,https://ajws.org/donate/default/,ajws@ajws.org,Large,https://ajws-americanjewishwo.netdna-ssl.com/wp-content/themes/ajws/assets/img/logo.svg
UN Refugee Agency,---,---,---,---,---,855-808-6427,"Helps to save, protect and rebuild the lives of millions of refugees and others forced to flee their homes due to violence and conflict.","In 1954, UNHCR won the Nobel Peace Prize for its groundbreaking work in Europe. But it was not long before we faced our next major emergency. In 1956, during the Hungarian Revolution, 200,000 fled to neighbouring Austria. Recognising the Hungarians as 'prima facie' refugees, UNHCR led efforts to resettle them. This uprising and its aftermath shaped the way humanitarian organizations would deal with refugee crises in the future. During the 1960s, the decolonisation of Africa produced the first of that continent's numerous refugee crises. We also helped uprooted people in Asia and Latin America over the following two decades. In 1981, we received a second Nobel Peace Prize for what had become worldwide assistance to refugees. The start of the 21st century has seen UNHCR help with major refugee crises in Africa, the Middle East and Asia. We have also been asked to use our expertise to help many internally displaced by conflict and expanded our role in helping stateless people. In some parts of the world, such as Africa and Latin America, the 1951 Refugee Convention has been strengthened by additional regional legal instruments. UNHCR now has more than 11,517 members of staff. We work in a total of 128 countries and our budget, which in its first year was USD $300,000, grew to USD $6.54 billion in 2016. In 2015, we celebrated our 65th anniversary. During our lifetime, we have helped well over 50 million refugees to successfully restart their lives.",https://www.unrefugees.org/,https://give.unrefugees.org/180117CORE_MAINPG_P_3000/?_ga=2.153040127.731079319.1529343487-2007167379.1529153210&_gac=1.90784232.1529343487.CjwKCAjwsJ3ZBRBJEiwAtuvtlDuSQhPfqZDuSbDa8XVnU1c5syK8LLanp3FUITiVnlq2b-wOxdZ7CxoCM_wQAvD_BwE,---,Large,https://lh3.googleusercontent.com/41iFnjcCdj0K_Lx9g4r1EdlNuRvWHJTzi9PTgx-jCLILY1h-7THGhOLLcQHYR2n2gdSR37R52I7hwpnKnZdmOls
Malala Fund,PO Box 53347,---,Washington,D.C.,20009,000-000-0000,Working for a world where every girl can learn and lead without fear.,Join Malala and invest in a better future for more than 130 million girls who are out of school today.,https://www.malala.org/,https://www.classy.org/give/154885/#!/donation/checkout,---,Large,https://www.malala.org/assets/logo-4531c95a7a8cd2921554af4ad4c426c70cc9af0f752c69c23bf855f75de7c680.png
